RANK by cap,SYMBOL,MARKET CAP,PRICE,CHANGE 1D,TRADING VOLUME,NAME,BW logo URL,White on Black,Theme color,Theme Image
48,CME,73.87B,205.15,0.07%,"2,085,177",CME,,,,silicon
100,CSGP,30.31B,73.95,0.01%,"2,036,876",CoStar,,,,silicon
72,PAYX,44.79B,124.37,1.74%,"2,000,374",Paychex,,,,silicon
59,WDAY,56.29B,212.18,0.94%,"1,996,473",Workday,,,,silicon
84,FAST,37.89B,66.17,1.83%,"1,975,171",Fastenal,,,,silicon
136,ILMN,20.18B,126.7,4.62%,"1,964,103",Illumina,,,,silicon
330,MAT,6.46B,19.01,2.54%,"1,959,561",Mattel,,,,silicon
426,DYN,4.27B,43.07,2.09%,"1,956,650",Dyne Therapeutics,,,,silicon
463,NEOG,3.68B,16.99,3.72%,"1,886,972",Neogen ,,,,silicon
411,QXO,4.57B,11.15,1.46%,"1,884,658",QXO,,,,silicon
181,WMG,14.71B,28.4,-0.87%,"1,847,148",Warner Music ,,,,silicon
254,HTHT,9.05B,28.87,4.75%,"1,819,917",H World,,,,silicon
71,ROST,46.44B,139.22,2.12%,"1,806,604",Ross Stores,,,,silicon
260,HSIC,8.64B,68.16,3.63%,"1,797,589",Henry Schein,,,,silicon
231,EXAS,10.58B,57.26,2.27%,"1,793,923",Exact Sciences ,,,,silicon
34,ADP,107.16B,262.79,1.50%,"1,769,906",Automatic Data Processing,,,,silicon
101,LULU,30.22B,241.75,3.56%,"1,737,459",Lululemon Athletica,,,,silicon
246,CHRD,9.40B,151.06,-1.58%,"1,731,370",Chord Energy ,,,,silicon
188,EVRG,13.57B,59,-0.05%,"1,721,634",Evergy,,,,silicon
28,SNY,130.76B,52.11,0.60%,"1,711,483",Sanofi,,,,silicon
339,CYTK,6.27B,54,5.43%,"1,700,397",Cytokinetics,,,,silicon
483,FRSH,3.41B,11.28,2.17%,"1,681,053",Freshworks,,,,silicon
407,VRRM,4.61B,27.66,1.28%,"1,667,971",Verra Mobility ,,,,silicon
129,FSLR,22.81B,213.13,2.09%,"1,655,202",First Solar,,,,silicon
420,ALKS,4.40B,26.75,1.17%,"1,652,825",Alkermes ,,,,silicon
238,QRVO,10.16B,107.08,6.44%,"1,631,311",Qorvo,,,,silicon
318,HCP,6.76B,33.6,0.30%,"1,613,003",HashiCorp,,,,silicon
464,FIVE,3.66B,66.47,2.31%,"1,611,715",Five Below,,,,silicon
216,FLEX,11.53B,29.03,3.31%,"1,600,749",Flex,,,,silicon
280,DUOL,7.79B,178.99,10.90%,"1,597,498",Duolingo,,,,silicon
215,CHRW,11.56B,98.57,0.82%,"1,569,285",C.H. Robinson Worldwide,,,,silicon
288,SMMT,7.42B,10.24,8.94%,"1,552,171",Summit Therapeutics,,,,silicon
205,INSM,12.34B,71.81,1.16%,"1,536,713",Insmed,,,,silicon
229,DOCU,10.66B,52.1,2.06%,"1,532,872",DocuSign,,,,silicon
290,MKSI,7.40B,109.97,6.23%,"1,526,685",MKS Instruments,,,,silicon
31,VRTX,120.27B,465.96,0.02%,"1,523,926",Vertex Pharmaceuticals,,,,silicon
484,GLNG,3.40B,32.69,1.93%,"1,523,264",Golar LNG,,,,silicon
86,GEHC,37.59B,82.32,3.76%,"1,521,398",GE HealthCare Technologies,,,,silicon
446,WAY,3.99B,23.84,10.47%,"1,517,572",Waystar ,,,,silicon
90,TEAM,36.13B,138.79,1.00%,"1,512,611",Atlassian ,,,,silicon
160,BMRN,16.73B,87.9,1.85%,"1,494,828",BioMarin Pharmaceutical,,,,silicon
417,BGC,4.44B,9.11,3.17%,"1,486,529",BGC,,,,silicon
314,LBTYA,6.88B,18.84,0.43%,"1,482,484",Liberty Global,,,,silicon
58,NTES,57.75B,89.61,2.15%,"1,480,409",NetEase,,,,silicon
94,CCEP,33.85B,73.3,0.05%,"1,478,796",Coca-Cola Europacific Partners ,,,,silicon
36,LRCX,104.19B,799.13,6.83%,"1,478,379",Lam Research ,,,,silicon
244,CHK,9.51B,72.43,1.29%,"1,458,755",Chesapeake Energy ,,,,silicon
111,AXON,27.85B,368.46,5.50%,"1,447,191",Axon Enterprise,,,,silicon
214,TECH,11.56B,73.37,3.40%,"1,433,587",Bio-Techne ,,,,silicon
122,GFS,24.46B,44.33,3.82%,"1,424,168",GlobalFoundries,,,,silicon
133,DLTR,20.40B,94.93,-0.11%,"1,388,574",Dollar Tree,,,,silicon
